"timestamp","genero","edad","procedencia","eleccion_estudio","carrera_simultanea","cambio_carrera","becado","excelencia_academica","promedio_graduacion","trabajo_y_estudio","clases_por_periodo","tiempo_graduacion","rendimiento_docente","calidad_contenido","tecnologias_unah","tecnologias_autodidacta","actividades_extracurriculares","areas_no_favoritas","areas_favoritas","preparacion_practica","portafolio","conocimientos_ayudaron","anio_graduacion","mes_graduacion","trabajo_por_carrera","gustar_practica","ofrecieron_trabajo_practica","trabajo_practica","tecnologias_mercado_laboral","actualizacion_tecnologias","trabajo_actual","trabajo_ingeniero_sistemas","meses_desempleado","trabajo_area_preferencia","trabajo_pre_graduacion","nivel_ingles","nivel_programacion","nivel_redes","nivel_servidores","nivel_disenio","nivel_admin","lider_proyectos","nivel_proactividad","nivel_autodidacta","expositor","negociador","lider","introvertido","competitivo","irritabilidad"
"2020/04/12 3:58:54 PM CDT","Mujer",28,"Francisco Morazan","Sí","No","Sí","No","No",2019,"No",4,8,"El 70% eran buenos dando la clase","No","programacion web y desarrollo en dispositivos moviles","javascript , php , angular ","No","Redes;Electrónica","Programación;Administración","Sí","basico","Sí",2019,3,"No","Sí","No","No","la programacion web y el desarrollo en dispositivos moviles como tambien manejo de bases de datos","Sí","Sí","Sí",1,"Sí","Sí",2,3,3,1,4,4,"Sí",3,"No","Si","No","Sí","Sí","Sí","No"
"2020/04/13 7:27:47 AM CDT","Mujer",24,"Tegucigalpa","Sí","No","No","No","Sí",79,"No",5,6,"El 70% eran buenos dando la clase","No","Programación web","Programación móvil","Sí","Redes;Administración","Programación;Electrónica","No","No estaba tan lleno como esperaba","Sí",2019,9,"No","Sí","No","No","Control de calidad, desarrollo móvil híbrido","Sí","Sí","Sí",3,"Sí","No",4,2,2,2,3,3,"Sí",4,"No","No","No","Sí","Sí","Sí","No"
"2020/04/13 9:28:32 PM CDT","Hombre",25,"Tegucigalpa","Sí","No","No","Sí","Sí",81,"No",4,6,"El 60% eran buenos dando la clase","Sí","Lenguajes de programación (Java, JavaScript, SQL) inteligencia de negocio","Web services, JavaScript, HTML, Apex","No","Administración","Programación;Redes","No","No se entiende la pregunta ","Sí",2019,11,"Sí","Sí","Sí","Si","Inteligencia de Negocios, programación, inteligencia emocional, Desenvolvimiento social","No","Sí","Sí",11,"Sí","Sí",4,3,2,2,4,3,"Sí",3,"No","Si","No","Sí","Sí","Sí","Sí"
"2020/04/14 5:45:15 PM CDT","Hombre",30,"Tegucigalpa, Francisco Morazan","Sí","No","No","No","No",78,"No",4,9,"El 70% eran buenos dando la clase","No","Cosas básicas nada mas","React Native, Sass, Firebase","No","Administración","Programación;Redes;Electrónica","No","Regular","Sí",NA,3,"Sí","Sí","Sí","Si","Angular, React, BackEnd","No","Sí","Sí",0,"Sí","No",2,2,3,2,3,2,"No",4,"Sí","No","No","Sí","Sí","No","Sí"
"2020/04/15 6:39:50 PM CDT","Hombre",30,"Tegucigalpa M.D.C.","Sí","Sí","No","No","No",75,"Sí",4,8,"El 50% eran buenos dando la clase","No","Node.js, HTML5, CSS3, Java, Python, C, C++, C#, Oracle, SQLServer, MySql, ASM, entre otras","Arduino, PHP, FLASH, Linux S.O. y servidores, Odoo, PosgreSql, javascript más a profundidad, Vue.js, entre otros","Sí","Redes","Programación;Electrónica;Administración","Sí","A mi parecer me faltaban conocimientos especializados en herramientas puntuales, que se usan en la empresa o que nosotros adquirimos conocimientos muy a media dificultad, que aprendí durante la práctica y que afecta al desempeño inmediato dentro del tiempo de práctica.","Sí",2019,1,"Sí","No","Sí","Si","Herramientas web, enfocadas en el front end, con conocimientos básicos de back end y Java y todas las vertientes, Javascript, Java de escritorio, además herramientas de versionado, repositorio, como github y herramientas de contenedores de imágenes y creación de imágenes, como Docker y de preferencia usando administradores de contenedores, como KUBERNET y muy importante, aprender a crear, consumir y administrar servicios web.","Sí","Sí","Sí",0,"Sí","Sí",5,4,2,2,4,4,"Sí",4,"Sí","Si","No","No","No","Sí","No"
"2020/04/15 6:40:01 PM CDT","Hombre",30,"Tegucigalpa M.D.C.","Sí","Sí","No","No","No",75,"Sí",4,8,"El 50% eran buenos dando la clase","No","Node.js, HTML5, CSS3, Java, Python, C, C++, C#, Oracle, SQLServer, MySql, ASM, entre otras","Arduino, PHP, FLASH, Linux S.O. y servidores, Odoo, PosgreSql, javascript más a profundidad, Vue.js, entre otros","Sí","Redes","Programación;Electrónica;Administración","Sí","A mi parecer me faltaban conocimientos especializados en herramientas puntuales, que se usan en la empresa o que nosotros adquirimos conocimientos muy a media dificultad, que aprendí durante la práctica y que afecta al desempeño inmediato dentro del tiempo de práctica.","Sí",2019,1,"Sí","No","Sí","Si","Herramientas web, enfocadas en el front end, con conocimientos básicos de back end y Java y todas las vertientes, Javascript, Java de escritorio, además herramientas de versionado, repositorio, como github y herramientas de contenedores de imágenes y creación de imágenes, como Docker y de preferencia usando administradores de contenedores, como KUBERNET y muy importante, aprender a crear, consumir y administrar servicios web.","Sí","Sí","Sí",0,"Sí","Sí",5,4,2,2,4,4,"Sí",4,"Sí","Si","No","No","No","Sí","No"
"2020/04/16 5:27:33 PM CDT","Hombre",27,"Tegucigalpa","Sí","No","Sí","No","No",79,"Sí",4,6,"El 50% eran buenos dando la clase","No","POO, Bases de datos, PHP, Sql Server, Javascript","Angular, CSS, mongo","Sí","Redes;Administración","Programación","No","No tenía portafolio","Sí",2018,3,"No","Sí","Sí","Si","Programación, metodologías ágiles","Sí","Sí","Sí",0,"Sí","Sí",1,2,1,1,1,1,"Sí",3,"Sí","Si","No","No","No","Sí","No"
"2020/04/16 5:30:32 PM CDT","Hombre",29,"Tegucigalpa","Sí","No","No","No","No",72,"No",4,6,"El 70% eran buenos dando la clase","No","C#, Java, Python, Visual Studio, SQL Server ","HTML y CSS","Sí","Redes;Administración","Programación;Electrónica","No","Novato","Sí",2016,10,"No","Sí","No","No","Desarrollo Web, Mobile y Agile","Sí","Sí","Sí",3,"Sí","No",3,2,2,1,2,1,"Sí",3,"Sí","Si","No","Sí","Sí","No","No"
"2020/04/16 5:38:20 PM CDT","Mujer",30,"Tegucigalpa","Sí","No","No","No","No",69,"Sí",3,7,"El 40%  o menos eran buenos dando la clase","No","Dreamweaver","SQL server","No","Programación","Redes;Electrónica;Administración","No","Con muy poca experiencia","Sí",2017,4,"Sí","Sí","Sí","Si","Actualmente el desarrollo web es muy importante y en la universidad estaba solamente como una optativa","Sí","Sí","Sí",0,"Sí","Sí",2,3,3,2,2,2,"No",3,"Sí","Si","No","No","Sí","No","Sí"
"2020/04/17 7:54:58 AM CDT","Hombre",26,"Intibuca ","Sí","No","No","No","Sí",80,"No",5,7,"El 70% eran buenos dando la clase","Sí","SQL, PHP, JAVA","CSS, PYTHON","No","Electrónica","Programación;Redes;Administración","Sí","Bien ","Sí",2020,2,"No","Sí","No","No","SQL","No","Sí","Sí",0,"Sí","Sí",3,4,3,3,3,3,"Sí",4,"No","Si","Sí","No","No","Sí","No"
